"store","websites","attribute_set","type","categories","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","gallery","url_key","url_path","config_attributes","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","price","special_price","weight","msrp","size","attr","status","visibility","enable_googlecheckout","tax_class_id","is_recurring","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","related","upsell","crosssell","tier_prices","associated","bundle_options","grouped","group_price_price","downloadable_options","super_attribute_pricing","product_tags","manufacturer"
"admin","base","RetailPro Configurable","configurable","","PAKOIAKACKGFGCNG","1","WEIRD GUY INDIGO SELVEDGE","011083","","","","","","","","size","","","Block after Info Column","","","","","","","","179.95","","","","","","Enabled","Catalog, Search","","Taxable Goods","","Long Description","Short Description","","","","","","","","","0","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011083","0","configurable","","","","","","","2510,2511,2512,2513,2514,2515","","","","","28:0.00:0|30:0.00:0|32:0.00:0|34:0.00:0|36:0.00:0|38:0.00:0","",""
"admin","base","RetailPro Configurable","simple","","7593","0","WEIRD GUY-SU","011253","","","","","","","","","","","","","","","","","","","200.00","","1.00","","28","BLACK","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011253","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","simple","","7594","0","WEIRD GUY-SU","011253","","","","","","","","","","","","","","","","","","","200.00","","1.00","","30","BLACK","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011253","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","simple","","7595","0","WEIRD GUY-SU","011253","","","","","","","","","","","","","","","","","","","200.00","","1.00","","32","BLACK","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","0","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011253","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","simple","","7596","0","WEIRD GUY-SU","011253","","","","","","","","","","","","","","","","","","","200.00","","1.00","","34","BLACK","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011253","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","simple","","7597","0","WEIRD GUY-SU","011253","","","","","","","","","","","","","","","","","","","200.00","","1.00","","36","BLACK","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011253","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","simple","","7598","0","WEIRD GUY-SU","011253","","","","","","","","","","","","","","","","","","","200.00","","1.00","","38","BLACK","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011253","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","configurable","","PAKOAAJBFPGGNMOD","1","WEIRD GUY-SU","011253","","","","","","","","size,attr","","","Block after Info Column","","","","","","","","200.00","","","","","","Enabled","Catalog, Search","","Taxable Goods","","Long Description","Short Description","","","","","","","","","0","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011253","0","configurable","","","","","","","7593,7594,7595,7596,7597,7598","","","","","28:0.00:0|30:0.00:0|32:0.00:0|34:0.00:0|36:0.00:0|38:0.00:0|BLACK:0.00:0","",""
"admin","base","RetailPro Configurable","simple","","2516","0","WEIRD GUY GREEN WEFT SELVEDGE","011283","","","","","","","","","","","","","","","","","","","159.95","","1.00","","28","","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011283","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","simple","","2517","0","WEIRD GUY GREEN WEFT SELVEDGE","011283","","","","","","","","","","","","","","","","","","","159.95","","1.00","","30","","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011283","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","simple","","2518","0","WEIRD GUY GREEN WEFT SELVEDGE","011283","","","","","","","","","","","","","","","","","","","159.95","","1.00","","32","","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011283","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","simple","","2519","0","WEIRD GUY GREEN WEFT SELVEDGE","011283","","","","","","","","","","","","","","","","","","","159.95","","1.00","","34","","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","0","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011283","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","simple","","2520","0","WEIRD GUY GREEN WEFT SELVEDGE","011283","","","","","","","","","","","","","","","","","","","159.95","","1.00","","36","","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011283","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","configurable","","PAKOAAPBODGKGCNG","1","WEIRD GUY GREEN WEFT SELVEDGE","011283","","","","","","","","size","","","Block after Info Column","","","","","","","","159.95","","","","","","Enabled","Catalog, Search","","Taxable Goods","","Long Description","Short Description","","","","","","","","","0","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011283","0","configurable","","","","","","","2516,2517,2518,2519,2520","","","","","28:0.00:0|30:0.00:0|32:0.00:0|34:0.00:0|36:0.00:0","",""
"admin","base","RetailPro Configurable","simple","","3644","0","TWISTED CANDY SELVEDGE","011521","","","","","","","","","","","","","","","","","","","179.95","","1.00","","28","CANDY","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011521","0","simple","","","","","","","","","","","","","","NAKED"
"admin","base","RetailPro Configurable","simple","","3645","0","TWISTED CANDY SELVEDGE","011521","","","","","","","","","","","","","","","","","","","179.95","","1.00","","30","CANDY","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011521","0","simple","","","","","","","","","","","","","","NAKED"
"admin","base","RetailPro Configurable","simple","","3646","0","TWISTED CANDY SELVEDGE","011521","","","","","","","","","","","","","","","","","","","179.95","","1.00","","32","CANDY","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","2","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011521","0","simple","","","","","","","","","","","","","","NAKED"
"admin","base","RetailPro Configurable","simple","","3647","0","TWISTED CANDY SELVEDGE","011521","","","","","","","","","","","","","","","","","","","179.95","","1.00","","34","CANDY","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011521","0","simple","","","","","","","","","","","","","","NAKED"
"admin","base","RetailPro Configurable","simple","","3648","0","TWISTED CANDY SELVEDGE","011521","","","","","","","","","","","","","","","","","","","179.95","","1.00","","36","CANDY","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","0","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011521","0","simple","","","","","","","","","","","","","","NAKED"
"admin","base","RetailPro Configurable","simple","","3649","0","TWISTED CANDY SELVEDGE","011521","","","","","","","","","","","","","","","","","","","179.95","","1.00","","38","CANDY","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","0","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011521","0","simple","","","","","","","","","","","","","","NAKED"
"admin","base","RetailPro Configurable","configurable","","PAKOIAOMKJELLHNJ","1","TWISTED CANDY SELVEDGE","011521","","","","","","","","size,attr","","","Block after Info Column","","","","","","","","179.95","","","","","","Enabled","Catalog, Search","","Taxable Goods","","Long Description","Short Description","","","","","","","","","0","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","011521","0","configurable","","","","","","","3644,3645,3646,3647,3648,3649","","","","","28:0.00:0|30:0.00:0|32:0.00:0|34:0.00:0|36:0.00:0|38:0.00:0|CANDY:0.00:0","","NAKED"
"admin","base","RetailPro Configurable","simple","","2544","0","SKINNY GUY LIGHT RAW SEL","013601","","","","","","","","","","","","","","","","","","","159.95","","1.00","","28","RAW LIGH","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","013601","0","simple","","","","","","","","","","","","","","NAKED"
"admin","base","RetailPro Configurable","simple","","2545","0","SKINNY GUY LIGHT RAW SEL","013601","","","","","","","","","","","","","","","","","","","159.95","","1.00","","30","RAW LIGH","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","013601","0","simple","","","","","","","","","","","","","","NAKED"
"admin","base","RetailPro Configurable","simple","","2546","0","SKINNY GUY LIGHT RAW SEL","013601","","","","","","","","","","","","","","","","","","","159.95","","1.00","","32","RAW LIGH","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","0","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","013601","0","simple","","","","","","","","","","","","","","NAKED"
"admin","base","RetailPro Configurable","simple","","2547","0","SKINNY GUY LIGHT RAW SEL","013601","","","","","","","","","","","","","","","","","","","159.95","","1.00","","34","RAW LIGH","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","013601","0","simple","","","","","","","","","","","","","","NAKED"
"admin","base","RetailPro Configurable","simple","","2548","0","SKINNY GUY LIGHT RAW SEL","013601","","","","","","","","","","","","","","","","","","","159.95","","1.00","","36","RAW LIGH","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","0","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","013601","0","simple","","","","","","","","","","","","","","NAKED"
"admin","base","RetailPro Configurable","simple","","2549","0","SKINNY GUY LIGHT RAW SEL","013601","","","","","","","","","","","","","","","","","","","159.95","","1.00","","38","RAW LIGH","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","013601","0","simple","","","","","","","","","","","","","","NAKED"
"admin","base","RetailPro Configurable","configurable","","PAKOIAHBDGIAGCNG","1","SKINNY GUY LIGHT RAW SEL","013601","","","","","","","","size,attr","","","Block after Info Column","","","","","","","","159.95","","","","","","Enabled","Catalog, Search","","Taxable Goods","","Long Description","Short Description","","","","","","","","","0","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","013601","0","configurable","","","","","","","2544,2545,2546,2547,2548,2549","","","","","28:0.00:0|30:0.00:0|32:0.00:0|34:0.00:0|36:0.00:0|38:0.00:0|RAW LIGH:0.00:0","","NAKED"
"admin","base","RetailPro Configurable","simple","","7280","0","WEIRDGUY BEIGE","013993","","","","","","","","","","","","","","","","","","","149.95","","1.00","","28","BEIGE","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","0","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","013993","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","simple","","7281","0","WEIRDGUY BEIGE","013993","","","","","","","","","","","","","","","","","","","149.95","","1.00","","30","BEIGE","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","013993","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","simple","","7282","0","WEIRDGUY BEIGE","013993","","","","","","","","","","","","","","","","","","","149.95","","1.00","","32","BEIGE","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","0","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","013993","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","simple","","7283","0","WEIRDGUY BEIGE","013993","","","","","","","","","","","","","","","","","","","149.95","","1.00","","34","BEIGE","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","0","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","013993","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","simple","","7284","0","WEIRDGUY BEIGE","013993","","","","","","","","","","","","","","","","","","","149.95","","1.00","","36","BEIGE","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","013993","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","simple","","7285","0","WEIRDGUY BEIGE","013993","","","","","","","","","","","","","","","","","","","149.95","","1.00","","38","BEIGE","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","013993","0","simple","","","","","","","","","","","","","",""
"admin","base","RetailPro Configurable","configurable","","PAKOIALOBOKKMJOC","1","WEIRDGUY BEIGE","013993","","","","","","","","size,attr","","","Block after Info Column","","","","","","","","149.95","","","","","","Enabled","Catalog, Search","","Taxable Goods","","Long Description","Short Description","","","","","","","","","0","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","013993","0","configurable","","","","","","","7280,7281,7282,7283,7284,7285","","","","","28:0.00:0|30:0.00:0|32:0.00:0|34:0.00:0|36:0.00:0|38:0.00:0|BEIGE:0.00:0","",""
"admin","base","RetailPro Configurable","simple","","2500","0","WEIRD GUY PINEAPPLE SELVEDGE","014363","","","","","","","","","","","","","","","","","","","179.95","","1.00","","28","PINEAPPL","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","014363","0","simple","","","","","","","","","","","","","","NAKED"
"admin","base","RetailPro Configurable","simple","","2501","0","WEIRD GUY PINEAPPLE SELVEDGE","014363","","","","","","","","","","","","","","","","","","","179.95","","1.00","","30","PINEAPPL","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","2","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","014363","0","simple","","","","","","","","","","","","","","NAKED"
"admin","base","RetailPro Configurable","simple","","2502","0","WEIRD GUY PINEAPPLE SELVEDGE","014363","","","","","","","","","","","","","","","","","","","179.95","","1.00","","32","PINEAPPL","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","0","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","014363","0","simple","","","","","","","","","","","","","","NAKED"
"admin","base","RetailPro Configurable","simple","","2503","0","WEIRD GUY PINEAPPLE SELVEDGE","014363","","","","","","","","","","","","","","","","","","","179.95","","1.00","","34","PINEAPPL","Enabled","Not Visible Individually","","Taxable Goods","","Long Description","Short Description","","","","","","","","","1","0","1","0","0","1","1","1","0","1","1","","","1","0","1","0","1","0","1","0","0","0","1","014363","0","simple","","","","","","","","","","","","","","NAKED"
